	Comments	Measure	SUCCESS/FAIL	Sample_number_after_dropna	Trait_length_after_dropna	chi/fval	pval
ICD10	NA	chisquare	SUCCESS	230	2	2.295695570804741	0.3173189735177776
ICD10_simple	NA	chisquare	SUCCESS	230	2	2.295695570804741	0.3173189735177776
ICDO3site	Number of unique trait is one	NA	FAIL	248	1	NA	1
days_survival	NA	f_oneway	SUCCESS	248	232	0.49209212597410096	0.6119489722599663
days_to_death	NA	f_oneway	SUCCESS	17	17	0.680315891760952	0.5224355233803425
days_to_last	NA	f_oneway	SUCCESS	231	216	0.7008761305933436	0.4972161615202879
diag_age	NA	f_oneway	SUCCESS	248	53	10.15579606356024	5.7903880973327015e-05
ethnicity	NA	chisquare	SUCCESS	171	2	0.8357130852639837	0.6584566821121898
gender	Number of unique trait is one	NA	FAIL	248	1	NA	1
grade	NA	chisquare	SUCCESS	248	4	83.56693842296224	6.537761685932466e-16
grade_simple	NA	chisquare	SUCCESS	248	2	78.38119175452672	9.544220581891253e-18
histICDO3	NA	chisquare	SUCCESS	248	7	106.3901975481829	3.0889705286541964e-17
hist_simple	NA	chisquare	SUCCESS	248	3	96.38432538906065	5.785029623254903e-20
living	NA	chisquare	SUCCESS	248	2	1.7675926947406526	0.4132112368649553
race	NA	chisquare	SUCCESS	241	5	19.342122350526708	0.013133260325842494
residual	NA	chisquare	SUCCESS	207	4	5.3334885402094105	0.5018057535783871
stage	Number of unique categorical trait is not below threshold	NA	FAIL	248	14	NA	1
stage_ismeta	NA	chisquare	SUCCESS	248	2	2.7082825079906856	0.2581689007985122
stage_simple	NA	chisquare	SUCCESS	248	4	15.358551764618188	0.01764400441853082
