	variance
ENSG00000000005	0.006580728734862597
ENSG00000000419	0.006273223155431157
ENSG00000000457	0.013970679498476975
ENSG00000000460	0.014779189185058753
ENSG00000000938	0.009388071141762674
ENSG00000000971	0.014711066734203665
ENSG00000001084	0.008677344768890422
ENSG00000001167	0.006087407086035109
ENSG00000001497	0.009020231430588605
ENSG00000001617	0.005176616841758206
ENSG00000001626	0.023008031703235773
ENSG00000001630	0.005255799736084494
ENSG00000001631	0.022673660469991853
ENSG00000002016	0.0023757586500607617
ENSG00000002330	0.004952169029151698
ENSG00000002549	0.009523626175259724
ENSG00000002586	0.0013818588864506058
ENSG00000002587	0.007027992240107363
ENSG00000002745	0.011599347467242565
ENSG00000002746	0.009280239529472399
ENSG00000002822	0.013340538961289316
ENSG00000002834	0.002532722518280392
ENSG00000002933	0.011989782212034717
ENSG00000003056	0.0032365111458144704
ENSG00000003096	0.013992310628347372
ENSG00000003137	0.006784754215655903
ENSG00000003147	0.004732671766223221
ENSG00000003393	0.014701337342919268
ENSG00000003400	0.007859840055924248
ENSG00000003402	0.009281679825692377
ENSG00000003436	0.004996080162163887
ENSG00000003756	0.0053007292848662145
ENSG00000003987	0.00913354546137687
ENSG00000004059	0.004856795414883259
ENSG00000004139	0.0036010197520995107
ENSG00000004399	0.007576183483374122
ENSG00000004455	0.00777034528376649
ENSG00000004468	0.008471467936866595
ENSG00000004478	0.004853564195136454
ENSG00000004487	0.011786782618851093
ENSG00000004534	0.00800356176086643
ENSG00000004660	0.005679623764680338
ENSG00000004700	0.007649617686474454
ENSG00000004776	0.0003112196175415129
ENSG00000004777	0.009625909077436004
ENSG00000004779	0.002547505544265879
ENSG00000004799	0.009606623146723236
ENSG00000004838	0.007999905085296301
ENSG00000004846	0.01249881188402187
ENSG00000004848	0.005442961598453995
ENSG00000004864	0.006821911008772517
ENSG00000004866	0.004870673341570472
ENSG00000004939	0.007748911995995794
ENSG00000004948	0.008550709560718244
ENSG00000004961	0.0018850149369674845
ENSG00000004975	0.01261013681035315
ENSG00000005007	0.011898022716481901
ENSG00000005020	0.0039023588955950385
