	Comments	Measure	SUCCESS/FAIL	Sample_number_after_dropna	Trait_length_after_dropna	chi/fval	pval
ICD10	NA	chisquare	SUCCESS	230	2	0.9047601862210836	0.6361123418507758
ICD10_simple	NA	chisquare	SUCCESS	230	2	0.9047601862210836	0.6361123418507758
ICDO3site	Number of unique trait is one	NA	FAIL	248	1	NA	1
days_survival	NA	f_oneway	SUCCESS	248	232	1.1640147011865967	0.31395074785972577
days_to_death	NA	f_oneway	SUCCESS	17	17	1.3114014088294288	0.30058442743621633
days_to_last	NA	f_oneway	SUCCESS	231	216	1.1515191711670336	0.3179877983983933
diag_age	NA	f_oneway	SUCCESS	248	53	3.6487660453880895	0.027447484143332573
ethnicity	NA	chisquare	SUCCESS	171	2	1.5469934034175086	0.46139687704023147
gender	Number of unique trait is one	NA	FAIL	248	1	NA	1
grade	NA	chisquare	SUCCESS	248	4	8.578037386165217	0.19873625103165632
grade_simple	NA	chisquare	SUCCESS	248	2	6.814722587081293	0.033128501535155196
histICDO3	NA	chisquare	SUCCESS	248	7	20.823800173553867	0.05302092659167334
hist_simple	NA	chisquare	SUCCESS	248	3	10.254746238982687	0.03634833102747141
living	NA	chisquare	SUCCESS	248	2	1.691091959651797	0.42932289257166867
race	NA	chisquare	SUCCESS	241	5	8.761901242000746	0.36277823588908015
residual	NA	chisquare	SUCCESS	207	4	7.066264193187269	0.31476260307439324
stage	Number of unique categorical trait is not below threshold	NA	FAIL	248	14	NA	1
stage_ismeta	NA	chisquare	SUCCESS	248	2	1.555366584616542	0.4594692351514418
stage_simple	NA	chisquare	SUCCESS	248	4	7.856677915659348	0.24879266315646426
