	Measure	Trait_length_after_dropna	Sample_number_after_dropna	chi/fval	pval	SUCCESS/FAIL	Comments
ICD10	chisquare	2	230	2.2956955708047406	0.3173189735177777	SUCCESS	NA
ICD10_simple	chisquare	2	230	2.2956955708047406	0.3173189735177777	SUCCESS	NA
ICDO3site	NA	1	248	NA	1	FAIL	Number of unique trait is one
days_survival	f_oneway	232	248	0.6787529616766214	0.5082003862303865	SUCCESS	NA
days_to_death	f_oneway	17	17	3.1615150124942573	0.07361681742918152	SUCCESS	NA
days_to_last	f_oneway	216	231	0.9233719320960713	0.39865756627067406	SUCCESS	NA
diag_age	f_oneway	53	248	0.3859029300865472	0.6802490060126076	SUCCESS	NA
ethnicity	chisquare	2	171	1.773840837369243	0.4119223498289051	SUCCESS	NA
gender	NA	1	248	NA	1	FAIL	Number of unique trait is one
grade	chisquare	4	248	4.102299696728469	0.6628346376703249	SUCCESS	NA
grade_simple	chisquare	2	248	0.9141851684311093	0.6331217202713461	SUCCESS	NA
histICDO3	chisquare	7	248	31.098505143281265	0.001903008090872113	SUCCESS	NA
hist_simple	chisquare	3	248	21.694499530320424	0.0002305243613763967	SUCCESS	NA
living	chisquare	2	248	0.5649892006345033	0.7539007127730031	SUCCESS	NA
race	chisquare	5	241	11.010208059721633	0.20112146660028263	SUCCESS	NA
residual	chisquare	4	207	5.558693372154909	0.4743913908705163	SUCCESS	NA
stage	NA	14	248	NA	1	FAIL	Number of unique categorical trait is not below threshold
stage_ismeta	chisquare	2	248	0.009247647364754127	0.9953868497333449	SUCCESS	NA
stage_simple	chisquare	4	248	1.8453739312522324	0.9333559373975497	SUCCESS	NA
