	Comments	Measure	SUCCESS/FAIL	Sample_number_after_dropna	Trait_length_after_dropna	chi/fval	pval
ICD10	NA	chisquare	SUCCESS	230	2	1.05817217716781	0.5891431483660792
ICD10_simple	NA	chisquare	SUCCESS	230	2	1.05817217716781	0.5891431483660792
ICDO3site	Number of unique trait is one	NA	FAIL	248	1	NA	1
days_survival	NA	f_oneway	SUCCESS	248	232	1.5080900893799332	0.22337963001564765
days_to_death	NA	f_oneway	SUCCESS	17	17	0.27548602501521	0.7632243262561919
days_to_last	NA	f_oneway	SUCCESS	231	216	1.5349064109870982	0.21769393414518184
diag_age	NA	f_oneway	SUCCESS	248	53	3.2509992772929888	0.040412793471053796
ethnicity	NA	chisquare	SUCCESS	171	2	0.796742662793535	0.6714126647641243
gender	Number of unique trait is one	NA	FAIL	248	1	NA	1
grade	NA	chisquare	SUCCESS	248	4	14.96105784655826	0.020561769386462623
grade_simple	NA	chisquare	SUCCESS	248	2	13.032655303356766	0.0014790908778394617
histICDO3	NA	chisquare	SUCCESS	248	7	18.416109100251195	0.10362775762490263
hist_simple	NA	chisquare	SUCCESS	248	3	8.69813825253351	0.06910372960872019
living	NA	chisquare	SUCCESS	248	2	3.8860918354096934	0.1432669053114515
race	NA	chisquare	SUCCESS	241	5	3.2941040744012544	0.9145689243747985
residual	NA	chisquare	SUCCESS	207	4	10.727593209667697	0.09716926825957942
stage	Number of unique categorical trait is not below threshold	NA	FAIL	248	14	NA	1
stage_ismeta	NA	chisquare	SUCCESS	248	2	7.432447326441401	0.02432565648440234
stage_simple	NA	chisquare	SUCCESS	248	4	11.127821131803765	0.08450539258233551
