	Cluster_0	Cluster_1	Cluster_2
ENSG00000000005	0.0	0.0	0.0
ENSG00000000419	0.0	0.0	0.0
ENSG00000000457	0.0	0.0	0.0
ENSG00000000460	0.0	0.0	0.0
ENSG00000000938	0.0	0.0	0.0
ENSG00000000971	0.0	0.0	0.0
ENSG00000001084	0.0	0.0	0.0
ENSG00000001167	0.0	0.0	0.0
ENSG00000001497	0.0	0.0	0.0
ENSG00000001617	0.0	0.0	0.0
ENSG00000001626	0.0	0.0	0.0
ENSG00000001630	0.0	0.0	0.0
ENSG00000001631	0.0	0.0	0.0
ENSG00000002016	0.0	0.0	0.0
ENSG00000002330	0.0	0.0	0.0
ENSG00000002549	0.0	0.0	0.0
ENSG00000002586	0.0	0.0	0.0
ENSG00000002587	0.0	0.0	0.0
ENSG00000002745	0.0	0.0	0.0
ENSG00000002746	0.0	0.0	0.0
ENSG00000002822	0.0	0.0	0.0
ENSG00000002834	0.0	0.0	0.0
ENSG00000002933	0.0	0.0	0.0
ENSG00000003056	0.0	0.0	0.0
ENSG00000003096	0.0	0.0	0.0
ENSG00000003137	0.0	0.0	0.0
ENSG00000003147	0.0	0.0	0.0
ENSG00000003393	0.0	0.0	0.0
ENSG00000003400	0.0	0.0	0.0
ENSG00000003402	0.0	0.0	0.0
ENSG00000003436	0.0	0.0	0.0
ENSG00000003756	0.0	0.0	0.0
ENSG00000003987	0.0	0.0	0.0
ENSG00000004059	0.0	0.0	0.0
ENSG00000004139	0.0	0.0	0.0
ENSG00000004399	0.0	0.0	0.0
ENSG00000004455	0.0	0.0	0.0
ENSG00000004468	0.0	0.0	0.0
ENSG00000004478	0.0	0.0	0.0
ENSG00000004487	0.0	0.0	0.0
ENSG00000004534	0.0	0.0	0.0
ENSG00000004660	0.0	0.0	0.0
ENSG00000004700	0.0	0.0	0.0
ENSG00000004776	0.0	0.0	0.0
ENSG00000004777	0.0	0.0	0.0
ENSG00000004779	0.0	0.0	0.0
ENSG00000004799	0.0	0.0	0.0
ENSG00000004838	0.0	0.0	0.0
ENSG00000004846	0.0	0.0	0.0
ENSG00000004848	0.0	0.0	0.0
ENSG00000004864	0.0	0.0	0.0
ENSG00000004866	0.0	0.0	0.0
ENSG00000004939	0.0	0.0	0.0
ENSG00000004948	0.0	0.0	0.0
ENSG00000004961	0.0	0.0	0.0
ENSG00000004975	0.0	0.0	0.0
ENSG00000005007	0.0	0.0	0.0
ENSG00000005020	0.0	0.0	0.0
ENSG00000005022	0.0	0.0	0.0
ENSG00000005075	0.0	0.0	0.0
ENSG00000005102	0.0	0.0	0.0
ENSG00000005156	0.0	0.0	0.0
ENSG00000005175	0.0	0.0	0.0
ENSG00000005187	0.0	0.0	0.0
ENSG00000005194	0.0	0.0	0.0
ENSG00000005243	0.0	0.0	0.0
ENSG00000005249	0.0	0.0	0.0
ENSG00000005302	0.0	0.0	0.0
ENSG00000005339	0.0	0.0	0.0
ENSG00000005379	0.0	0.0	0.0
ENSG00000005381	0.0	0.0	0.0
ENSG00000005421	0.0	0.0	0.0
ENSG00000005471	0.0	0.0	0.0
ENSG00000005513	0.0	0.0	0.0
ENSG00000005700	0.0	0.0	0.0
ENSG00000005810	0.0	0.0	1.0
ENSG00000005812	0.0	0.0	0.0
ENSG00000005844	0.0	0.0	0.0
ENSG00000005882	0.0	0.0	0.0
ENSG00000005884	0.0	0.0	0.0
ENSG00000005889	0.0	0.0	0.0
ENSG00000005893	0.0	0.0	0.0
ENSG00000005961	0.0	0.0	0.0
ENSG00000005981	0.0	0.0	0.0
ENSG00000006007	0.0	0.0	0.0
ENSG00000006016	0.0	0.0	0.0
ENSG00000006025	0.0	0.0	0.0
ENSG00000006062	0.0	0.0	0.0
ENSG00000006071	0.0	0.0	0.0
ENSG00000006116	0.0	0.0	0.0
ENSG00000006118	0.0	0.0	0.0
ENSG00000006125	0.0	0.0	0.0
ENSG00000006128	0.0	0.0	0.0
ENSG00000006210	0.0	0.0	0.0
ENSG00000006283	0.0	0.0	0.0
ENSG00000006327	0.0	0.0	0.0
ENSG00000006377	0.0	0.0	0.0
ENSG00000006451	0.0	0.0	0.0
ENSG00000006468	0.0	0.0	0.0
ENSG00000006555	0.0	0.0	0.0
ENSG00000006606	0.0	0.0	0.0
ENSG00000006607	0.0	0.0	0.0
ENSG00000006611	0.0	0.0	0.0
ENSG00000006625	0.0	0.0	0.0
ENSG00000006634	0.0	0.0	0.0
ENSG00000006638	0.0	0.0	0.0
ENSG00000006652	0.0	0.0	0.0
ENSG00000006695	0.0	0.0	0.0
ENSG00000006704	0.0	0.0	0.0
ENSG00000006712	0.0	0.0	0.0
ENSG00000006715	0.0	0.0	0.0
ENSG00000006740	0.0	0.0	0.0
ENSG00000006744	0.0	0.0	0.0
ENSG00000006757	0.0	0.0	0.0
ENSG00000006788	0.0	0.0	0.0
ENSG00000006831	0.0	0.0	0.0
ENSG00000007001	0.0	0.0	0.0
ENSG00000007047	0.0	0.0	0.0
ENSG00000007062	0.0	0.0	0.0
ENSG00000007168	0.0	0.0	0.0
ENSG00000007171	0.0	0.0	0.0
ENSG00000007174	0.0	0.0	1.0
ENSG00000007216	0.0	0.0	0.0
ENSG00000007255	0.0	0.0	0.0
ENSG00000007312	0.0	0.0	0.0
ENSG00000007314	0.0	0.0	1.0
ENSG00000007341	0.0	0.0	0.0
ENSG00000007350	0.0	0.0	0.0
ENSG00000007372	0.0	0.0	0.0
ENSG00000007392	0.0	0.0	0.0
ENSG00000007516	0.0	0.0	0.0
ENSG00000007541	0.0	0.0	0.0
ENSG00000007866	0.0	0.0	0.0
ENSG00000007908	0.0	0.0	0.0
ENSG00000007923	0.0	0.0	1.0
ENSG00000007933	0.0	0.0	0.0
ENSG00000007944	0.0	0.0	0.0
ENSG00000007952	0.0	0.0	0.0
ENSG00000007968	0.0	0.0	0.0
ENSG00000008018	0.0	0.0	0.0
ENSG00000008056	0.0	0.0	0.0
ENSG00000008083	0.0	0.0	0.0
ENSG00000008086	0.0	0.0	0.0
ENSG00000008118	0.0	0.0	0.0
ENSG00000008128	0.0	0.0	0.0
ENSG00000008130	0.0	0.0	0.0
ENSG00000008196	0.0	0.0	0.0
ENSG00000008256	0.0	0.0	0.0
ENSG00000008277	0.0	0.0	0.0
ENSG00000008283	0.0	0.0	0.0
ENSG00000008294	0.0	0.0	0.0
ENSG00000008300	0.0	0.0	0.0
ENSG00000008311	0.0	0.0	0.0
ENSG00000008323	0.0	0.0	0.0
ENSG00000008394	0.0	0.0	0.0
ENSG00000008405	0.0	0.0	0.0
ENSG00000008438	0.0	0.0	0.0
ENSG00000008441	0.0	0.0	0.0
ENSG00000008513	0.0	0.0	0.0
ENSG00000008516	0.0	0.0	0.0
ENSG00000008517	0.0	0.0	0.0
ENSG00000008710	0.0	0.0	0.0
ENSG00000008735	0.0	0.0	0.0
ENSG00000008838	0.0	0.0	0.0
ENSG00000008853	0.0	0.0	0.0
ENSG00000008952	0.0	0.0	0.0
ENSG00000008988	0.0	0.0	0.0
ENSG00000009335	0.0	0.0	0.0
ENSG00000009413	1.0	0.0	0.0
ENSG00000009709	0.0	0.0	0.0
ENSG00000009724	0.0	0.0	0.0
ENSG00000009790	0.0	0.0	0.0
ENSG00000009830	0.0	0.0	0.0
ENSG00000009844	0.0	0.0	0.0
ENSG00000009950	0.0	0.0	0.0
ENSG00000009954	0.0	0.0	0.0
ENSG00000010017	0.0	0.0	0.0
ENSG00000010030	0.0	0.0	0.0
ENSG00000010256	0.0	0.0	0.0
ENSG00000010278	0.0	0.0	0.0
ENSG00000010292	0.0	0.0	0.0
ENSG00000010310	0.0	0.0	0.0
ENSG00000010319	0.0	0.0	0.0
ENSG00000010322	0.0	0.0	0.0
ENSG00000010327	0.0	0.0	0.0
ENSG00000010361	0.0	0.0	0.0
ENSG00000010438	0.0	0.0	0.0
ENSG00000010610	0.0	0.0	0.0
ENSG00000010626	0.0	0.0	0.0
ENSG00000010671	0.0	0.0	0.0
ENSG00000010704	0.0	0.0	0.0
ENSG00000010803	0.0	0.0	0.0
ENSG00000010810	0.0	0.0	0.0
ENSG00000010818	0.0	0.0	0.0
ENSG00000010932	0.0	0.0	0.0
ENSG00000011007	0.0	0.0	0.0
ENSG00000011009	0.0	0.0	0.0
ENSG00000011021	0.0	0.0	0.0
ENSG00000011028	0.0	0.0	0.0
ENSG00000011083	0.0	0.0	0.0
ENSG00000011132	0.0	0.0	0.0
ENSG00000011143	0.0	0.0	0.0
ENSG00000011198	0.0	0.0	0.0
ENSG00000011201	0.0	0.0	0.0
ENSG00000011243	0.0	0.0	0.0
ENSG00000011260	0.0	0.0	0.0
ENSG00000011275	0.0	0.0	0.0
ENSG00000011304	0.0	0.0	0.0
ENSG00000011332	0.0	0.0	0.0
ENSG00000011376	0.0	0.0	0.0
ENSG00000011405	0.0	0.0	0.0
ENSG00000011422	0.0	0.0	0.0
ENSG00000011426	0.0	0.0	0.0
ENSG00000011454	0.0	0.0	0.0
ENSG00000011465	0.0	0.0	0.0
ENSG00000011485	0.0	0.0	0.0
ENSG00000011566	0.0	0.0	0.0
ENSG00000011590	0.0	0.0	0.0
ENSG00000011600	0.0	0.0	0.0
ENSG00000011677	0.0	0.0	0.0
ENSG00000012048	0.0	0.0	0.0
ENSG00000012061	0.0	0.0	0.0
ENSG00000012124	0.0	0.0	0.0
ENSG00000012174	0.0	0.0	0.0
ENSG00000012223	0.0	0.0	0.0
ENSG00000012232	0.0	0.0	0.0
ENSG00000012504	0.0	0.0	0.0
ENSG00000012779	0.0	0.0	0.0
ENSG00000012817	0.0	0.0	0.0
ENSG00000012822	0.0	0.0	0.0
ENSG00000013016	0.0	0.0	0.0
ENSG00000013297	0.0	0.0	0.0
ENSG00000013306	0.0	0.0	0.0
ENSG00000013364	0.0	0.0	0.0
ENSG00000013374	0.0	0.0	0.0
ENSG00000013375	0.0	0.0	0.0
ENSG00000013441	0.0	0.0	0.0
ENSG00000013503	0.0	0.0	0.0
ENSG00000013523	0.0	0.0	0.0
ENSG00000013561	0.0	0.0	0.0
ENSG00000013563	0.0	0.0	0.0
ENSG00000013573	0.0	0.0	0.0
ENSG00000013583	0.0	0.0	0.0
ENSG00000013619	0.0	0.0	0.0
ENSG00000013725	0.0	0.0	0.0
ENSG00000013810	0.0	0.0	0.0
ENSG00000014123	0.0	0.0	0.0
ENSG00000014138	0.0	0.0	0.0
ENSG00000014216	0.0	0.0	0.0
ENSG00000014257	0.0	0.0	0.0
ENSG00000014641	0.0	0.0	0.0
ENSG00000014914	0.0	0.0	0.0
ENSG00000014919	0.0	0.0	0.0
ENSG00000015153	0.0	0.0	0.0
ENSG00000015171	0.0	0.0	0.0
ENSG00000015285	0.0	0.0	0.0
ENSG00000015413	0.0	0.0	0.0
ENSG00000015475	0.0	0.0	0.0
ENSG00000015479	0.0	0.0	0.0
ENSG00000015520	0.0	0.0	0.0
ENSG00000015532	0.0	0.0	0.0
ENSG00000015568	0.0	0.0	0.0
ENSG00000015592	0.0	0.0	0.0
ENSG00000016082	0.0	0.0	0.0
ENSG00000016391	0.0	0.0	0.0
ENSG00000016402	0.0	0.0	0.0
ENSG00000016490	0.0	0.0	0.0
ENSG00000017260	0.0	0.0	0.0
ENSG00000017427	0.0	0.0	0.0
ENSG00000017797	0.0	0.0	0.0
ENSG00000018236	0.0	0.0	0.0
ENSG00000018280	0.0	0.0	0.0
ENSG00000018408	0.0	0.0	0.0
ENSG00000018510	0.0	0.0	0.0
ENSG00000018625	0.0	0.0	0.0
ENSG00000019186	0.0	0.0	0.0
ENSG00000019505	0.0	0.0	0.0
ENSG00000019549	0.0	0.0	0.0
ENSG00000019582	0.0	0.0	0.0
ENSG00000019991	0.0	0.0	0.0
ENSG00000019995	0.0	0.0	0.0
ENSG00000020129	0.0	0.0	0.0
ENSG00000020181	0.0	0.0	0.0
ENSG00000020426	0.0	0.0	0.0
ENSG00000020577	0.0	0.0	0.0
ENSG00000020633	0.0	0.0	0.0
ENSG00000020922	0.0	0.0	0.0
ENSG00000021355	0.0	0.0	0.0
ENSG00000021461	0.0	0.0	0.0
ENSG00000021488	0.0	0.0	0.0
ENSG00000021574	0.0	0.0	0.0
ENSG00000021645	0.0	0.0	0.0
ENSG00000021826	0.0	0.0	0.0
ENSG00000021852	0.0	0.0	0.0
ENSG00000022267	0.0	0.0	0.0
ENSG00000022355	0.0	0.0	0.0
ENSG00000022840	0.0	0.0	0.0
ENSG00000023191	0.0	0.0	0.0
ENSG00000023228	0.0	0.0	0.0
ENSG00000023287	0.0	0.0	0.0
ENSG00000023318	0.0	0.0	0.0
ENSG00000023330	0.0	0.0	0.0
ENSG00000023445	0.0	0.0	0.0
ENSG00000023516	0.0	0.0	0.0
ENSG00000023572	0.0	0.0	0.0
ENSG00000023608	0.0	0.0	0.0
ENSG00000023697	0.0	0.0	0.0
ENSG00000023734	0.0	0.0	0.0
ENSG00000023839	0.0	0.0	0.0
ENSG00000023892	0.0	0.0	0.0
ENSG00000023902	0.0	0.0	0.0
ENSG00000023909	0.0	0.0	0.0
ENSG00000024048	0.0	0.0	0.0
